t	measuredXAcc	predictedXAcc
45.846	-0.1406	0.1994
45.941	-0.1562	0.0369
46.044	-0.0928	-0.1447
46.147	-0.0781	-0.2877
46.251	-0.0371	-0.3528
46.354	0.0977	-0.3207
46.457	0.1309	-0.1927
46.561	0.0918	-0.0063
46.667	0.1191	0.1804
46.782	0.0664	0.3170
46.873	-0.0830	0.3617
46.977	-0.0791	0.2951
47.085	-0.0840	0.1422
47.189	-0.1572	-0.0492
47.288	-0.1270	-0.2317
47.392	0.0166	-0.3516
47.495	0.0264	-0.3667
47.604	0.0664	-0.2767
47.704	0.1387	-0.1105
47.948	0.0322	0.0821
48.072	-0.0254	0.2350
48.225	-0.1035	0.2958
48.330	-0.1465	0.2468
48.430	-0.1152	0.1093
48.536	-0.0332	-0.0611
48.640	0.0068	-0.2004
48.745	0.0479	-0.2646
48.847	0.1279	-0.2360
48.951	0.1396	-0.1229
49.053	0.0469	0.0332
49.158	-0.0010	0.1713
49.260	-0.0156	0.2457
49.366	-0.0850	0.2379
49.468	-0.1318	0.1498
49.573	-0.1006	0.0082
49.677	-0.0527	-0.1381
49.781	-0.0312	-0.2413
49.886	0.0771	-0.2688
49.987	0.0986	-0.2088
50.092	0.1162	-0.0795
50.198	0.1045	0.0779
50.300	0.0254	0.2132
50.403	-0.0342	0.2804
50.511	-0.0566	0.2587
50.613	-0.0889	0.1588
50.715	-0.1230	0.0108
50.819	-0.0879	-0.1439
50.925	-0.0107	-0.2574
51.028	0.0186	-0.2928
51.131	0.0723	-0.2412
51.236	0.1250	-0.1173
51.341	0.1084	0.0451
51.443	0.0459	0.1953
51.549	-0.0059	0.2844
51.651	-0.0400	0.2861
51.757	-0.0879	0.2030
51.858	-0.1143	0.0596
51.962	-0.0859	-0.1026
52.066	-0.0352	-0.2336
52.169	0.0020	-0.2941
52.274	0.0449	-0.2687
52.378	0.1123	-0.1653
52.481	0.1133	-0.0110
52.585	0.0801	0.1489
52.693	0.0117	0.2639
52.798	-0.0303	0.2978
52.899	-0.0703	0.2423
53.009	-0.1016	0.1158
53.104	-0.1035	-0.0449
53.211	-0.0547	-0.1922
53.314	-0.0029	-0.2810
53.417	0.0342	-0.2854
53.521	0.0811	-0.2065
53.624	-0.0078	-0.0748
53.727	0.0791	0.0648
53.833	0.0312	0.1776
53.936	-0.0791	0.2311
54.251	-0.2168	0.1949
54.402	-0.1709	0.0704
54.454	-0.0068	-0.0890
54.559	0.1562	-0.2024
54.661	0.0498	-0.2233
54.765	0.0957	-0.1610
54.869	0.1934	-0.0393
54.973	0.0225	0.1059
55.076	-0.1250	0.2085
55.180	-0.0234	0.2254
55.286	-0.0791	0.1657
55.395	-0.2119	0.0475
55.495	-0.1348	-0.1053
55.598	0.0586	-0.2343
55.701	-0.0068	-0.2846
55.805	0.0439	-0.2482
55.908	0.1875	-0.1366
56.011	0.1133	0.0268
56.115	0.0137	0.1852
56.221	-0.0654	0.2761
56.323	-0.0957	0.2683
56.426	-0.1641	0.1657
56.533	-0.1465	0.0001
56.634	-0.1123	-0.1762
56.738	-0.0801	-0.3087
56.842	0.0234	-0.3572
56.947	0.0918	-0.3026
57.052	0.1377	-0.1568
57.153	0.1768	0.0414
57.257	0.1182	0.2371
57.361	-0.0400	0.3652
57.465	-0.0439	0.3792
57.590	-0.0742	0.2807
57.673	-0.1641	0.1026
57.781	-0.1816	-0.1114
57.880	-0.0674	-0.3015
57.986	0.0244	-0.4033
58.089	0.0029	-0.3865
58.196	0.2168	-0.2573
58.296	0.2529	-0.0380
58.404	-0.1396	0.1941
58.507	-0.0146	0.3376
58.608	0.0537	0.3645
58.715	-0.1504	0.2899
58.816	-0.2422	0.1212
58.919	-0.1377	-0.1019
59.024	-0.0615	-0.3010
59.126	-0.1104	-0.4156
59.234	0.0254	-0.4220
59.337	0.1562	-0.3129
59.440	0.1377	-0.1100
59.543	0.1504	0.1268
59.647	0.1162	0.3295
59.749	-0.0400	0.4380
59.858	-0.0918	0.4135
59.961	-0.0908	0.2665
