t	measuredXAcc	predictedXAcc
44.068	0.2021	0.1446
44.174	0.1621	0.1697
44.277	0.0010	0.1478
44.380	0.0615	0.0865
44.484	0.0518	0.0024
44.589	-0.1025	-0.0805
44.693	-0.2480	-0.1366
44.796	-0.1143	-0.1508
44.899	-0.0137	-0.1195
45.004	-0.0557	-0.0502
45.109	-0.0713	-0.0536
45.249	0.1240	-0.0084
45.317	0.1875	0.0158
45.419	0.1045	0.0464
45.524	0.0537	0.1033
45.631	0.0234	0.1312
45.733	-0.0625	0.1208
45.846	-0.1406	0.0709
45.941	-0.1562	0.0097
46.044	-0.0928	-0.0585
46.147	-0.0781	-0.1097
46.251	-0.0371	-0.1293
46.354	0.0977	-0.1116
46.457	0.1309	-0.0617
46.561	0.0918	0.0067
46.667	0.1191	0.0747
46.782	0.0664	0.1231
46.873	-0.0830	0.1314
46.977	-0.0791	0.1056
47.085	-0.0840	0.0470
47.189	-0.1572	-0.0230
47.288	-0.1270	-0.0834
47.392	0.0166	-0.1227
47.495	0.0264	-0.1262
47.604	0.0664	-0.0907
47.704	0.1387	-0.0319
47.948	0.0322	0.1127
48.072	-0.0254	0.0651
48.225	-0.1035	0.1296
48.330	-0.1465	0.1289
48.430	-0.1152	0.0928
48.536	-0.0332	0.0279
48.640	0.0068	-0.0441
48.745	0.0479	-0.1036
48.847	0.1279	-0.1322
48.951	0.1396	-0.1234
49.053	0.0469	-0.0799
49.158	-0.0010	-0.1299
49.260	-0.0156	-0.0900
49.366	-0.0850	-0.0223
49.468	-0.1318	0.0495
49.573	-0.1006	0.1087
49.677	-0.0527	0.1358
49.781	-0.0312	0.1236
49.886	0.0771	0.0750
49.987	0.0986	0.0072
50.092	0.1162	-0.0652
50.198	0.1045	-0.1187
50.300	0.0254	-0.0614
50.403	-0.0342	-0.1098
50.511	-0.0566	-0.1273
50.613	-0.0889	-0.1075
50.715	-0.1230	-0.0581
50.819	-0.0879	0.0087
50.925	-0.0107	0.0737
51.028	0.0186	0.1156
51.131	0.0723	0.1244
51.236	0.1250	0.0969
51.341	0.1084	0.0405
51.443	0.0459	0.0905
51.549	-0.0059	0.0309
51.651	-0.0400	-0.0357
51.757	-0.0879	-0.0943
51.858	-0.1143	-0.1242
51.962	-0.0859	-0.1197
52.066	-0.0352	-0.0807
52.169	0.0020	-0.0193
52.274	0.0449	0.0487
52.378	0.1123	0.1017
52.481	0.1133	0.1250
52.585	0.0801	0.1124
52.693	0.0117	0.1193
52.798	-0.0303	0.0991
52.899	-0.0703	0.0517
53.009	-0.1016	-0.0155
53.104	-0.1035	-0.0706
53.211	-0.0547	-0.1118
53.314	-0.0029	-0.1194
53.417	0.0342	-0.0933
53.521	0.0811	-0.0403
53.624	-0.0078	0.0235
53.727	0.0791	0.0805
53.833	0.0312	0.1150
53.936	-0.0791	0.1152
54.251	-0.2168	-0.0412
54.402	-0.1709	-0.1095
54.454	-0.0068	-0.1191
54.559	0.1562	-0.1119
54.661	0.0498	-0.0734
54.765	0.0957	-0.0134
54.869	0.1934	0.0503
54.973	0.0225	0.0993
55.076	-0.1250	-0.0150
55.180	-0.0234	0.0680
55.286	-0.0791	0.1317
55.395	-0.2119	0.1553
55.495	-0.1348	0.1331
55.598	0.0586	0.0726
55.701	-0.0068	-0.0090
55.805	0.0439	-0.0892
55.908	0.1875	-0.1438
56.011	0.1133	-0.1580
56.115	0.0137	-0.1241
56.221	-0.0654	-0.1710
56.323	-0.0957	-0.1685
56.426	-0.1641	-0.1192
56.533	-0.1465	-0.0333
56.634	-0.1123	0.0569
56.738	-0.0801	0.1324
56.842	0.0234	0.1689
56.947	0.0918	0.1553
57.052	0.1377	0.0952
57.153	0.1768	0.0097
57.257	0.1182	-0.0815
57.361	-0.0400	0.0612
57.465	-0.0439	-0.0332
57.590	-0.0742	-0.1324
57.673	-0.1641	-0.1702
57.781	-0.1816	-0.1722
57.880	-0.0674	-0.1272
57.986	0.0244	-0.0430
58.089	0.0029	0.0510
58.196	0.2168	0.1323
58.296	0.2529	0.1716
58.404	-0.1396	0.1617
58.507	-0.0146	0.1047
58.608	0.0537	0.0192
58.715	-0.1504	-0.0771
58.816	-0.2422	0.0447
58.919	-0.1377	-0.0159
59.024	-0.0615	-0.0752
59.126	-0.1104	-0.1140
59.234	0.0254	-0.1228
59.337	0.1562	-0.0979
59.440	0.1377	-0.0475
59.543	0.1504	0.0141
59.647	0.1162	0.0699
59.749	-0.0400	0.1027
59.858	-0.0918	0.1036
59.961	-0.0908	0.0718
